"address","city","zip_code","sold_date","price","rooms","size","build_year","latitude","longitude"
"Ceresbyen 31, 4. 5","Aarhus C",8000,"2017-02-09",2100000,2,58,2017,56.156517,10.190962
"Høegh-Guldbergs Gade 131, 2","Aarhus C",8000,"2017-02-08",2300000,2,55,1892,56.164555,10.203212
"Frederiks Plads 8, 3. 4","Aarhus C",8000,"2017-02-08",3300000,3,79,2017,56.149246,10.208593
"Ceresbyen 66, kl. 3","Aarhus C",8000,"2017-02-08",1850000,1,56,2017,56.15669,10.194395
"Mariane Thomsens Gade 6, 12. 2","Aarhus C",8000,"2017-02-08",4700000,3,102,2016,56.165455,10.229179
"Silkeborgvej 7, 3. 1","Aarhus C",8000,"2017-02-08",2425000,3,68,2017,56.156742,10.190741
"Frederiks Plads 16, 3. 7","Aarhus C",8000,"2017-02-08",2433929,2,58,2017,56.148922,10.208356
"Silkeborgvej 3, 4. 1","Aarhus C",8000,"2017-02-08",2550000,3,73,2017,56.15684,10.191343
"Ceresbyen 31, 3. 3","Aarhus C",8000,"2017-02-08",1925000,2,53,2017,56.156517,10.190962
"Mejlgade 68, st","Aarhus C",8000,"2017-02-08",2600000,3,170,1888,56.160633,10.213693
"Christiansgade 8, 2","Aarhus C",8000,"2017-02-08",3800000,5,150,1924,56.154663,10.202515
"Fynsgade 3, st","Aarhus C",8000,"2017-02-07",2435000,3,73,1891,56.16457,10.202873
"Fynsgade 15A, 1","Aarhus C",8000,"2017-02-07",3400000,4,90,1893,56.164276,10.202167
"Ceresbyen 31, 3. 4","Aarhus C",8000,"2017-02-07",3100000,3,91,2017,56.156517,10.190962
"Frederiks Plads 16, 6. 2","Aarhus C",8000,"2017-02-07",2700000,2,74,2017,56.148922,10.208356
"Skolegyde 4, 4","Aarhus C",8000,"2017-02-06",1681000,3,101,1914,56.15646,10.211883
"Ivar Huitfeldts Gade 5, 2. th","Aarhus N",8200,"2017-02-06",1600000,2,49,1900,56.16986,10.214295
"Tordenskjoldsgade 81, 1. th","Aarhus N",8200,"2017-02-06",2098000,2,56,1928,56.1739,10.2168665
"Jægergårdsgade 100B, 4. tv","Aarhus C",8000,"2017-02-06",3998000,3,101,2008,56.148247,10.204074
"Rudolph Wulffs Gade 12, st. th","Aarhus C",8000,"2017-02-06",1950000,2,66,1946,56.14054,10.184897
"Hendrik Pontoppidans Gade 26, st. th","Aarhus C",8000,"2017-02-06",2400000,3,88,1908,56.143288,10.205371
"Carl Blochs Gade 23, 3. tv","Aarhus C",8000,"2017-02-06",2650000,3,80,1918,56.15543,10.19477
"Hans Schourups Gade 6, 5. th","Aarhus C",8000,"2017-02-06",2750000,2,69,1935,56.141705,10.191725
"Strandvejen 36, 4. tv","Aarhus C",8000,"2017-02-06",5900000,6,165,1908,56.14578,10.208505
"Skt. Anna Gade 45B, 3. th","Aarhus C",8000,"2017-02-05",2000000,2,47,1900,56.14587,10.198835
"Eckersbergsgade 19, 1. th","Aarhus C",8000,"2017-02-05",1898000,2,51,1936,56.151775,10.195882
"Helga Pedersens Gade 3, 1. 1","Aarhus C",8000,"2017-02-05",2998000,3,98,2014,56.16661,10.229147
"Silkeborgvej 3, 4. 2","Aarhus C",8000,"2017-02-05",1925000,2,52,2017,56.15684,10.191343
"Bernhardt Jensens Boulevard 91, 7. th","Aarhus C",8000,"2017-02-05",3498000,3,96,2016,56.165676,10.225638
"Fynsgade 15A, 2. th","Aarhus C",8000,"2017-02-05",3950000,4,106,1893,56.164276,10.202167
"Odensegade 27, 4. tv","Aarhus C",8000,"2017-02-04",3150000,3,83,1907,56.145176,10.202115
"Skt. Anna Gade 29, st","Aarhus C",8000,"2017-02-04",1369000,4,134,1896,56.146847,10.198717
"Ceres Allé 7, 6. 7","Aarhus C",8000,"2019-05-05",3800000,4,110,2016,56.15459,10.191217
